keywords,total_impressions,total_clicks,avg_position,effective_ctr
affordable jewelry,678384,20764,11.21323283082077,3.0608033208330383
affordable luxury jewelry,840781,35714,11.105161290322581,4.247717300938056
affordable statement jewelry,1037956,36061,10.858213716108454,3.4742320483719924
affordable trendy jewelry,805510,31114,10.994066317626528,3.862646025499373
animal jewelry,802511,60187,11.230569105691057,7.499834893228878
anklets,821451,29919,11.250081566068516,3.6422135952114
arm cuffs,812854,26815,11.149438202247191,3.298870399850404
art deco jewelry,918426,29267,11.032736156351792,3.186647590551661
art nouveau jewelry,910676,36102,10.509424920127795,3.964307832862621
artisan jewelry,797198,41386,11.262284820031299,5.191432994061701
artisanal jewelry,841263,28377,11.427470686767169,3.373142524989212
bangles,972997,38609,10.702702702702704,3.968049233450874
baroque jewelry,997633,42534,10.762033898305086,4.263491684817964
beach jewelry,895645,32059,11.340422077922078,3.5794315828257846
beaded bracelets,720577,33286,11.544786324786324,4.619353656861098
beaded jewelry,860787,25881,10.999554896142433,3.006667154592251
birthstone jewelry,818857,30820,11.131900826446282,3.7637829315741334
body chains,764511,24269,11.062905982905983,3.1744474572635317
body jewelry,850056,51913,11.080564784053156,6.107009420555822
body piercings,840309,27492,10.696084828711255,3.27165364169609
bohemian jewelry,711588,20226,10.860353130016051,2.8423750822104927
boho jewelry,953020,35671,10.867205169628432,3.7429434849216174
bold jewelry,838603,37127,11.274363057324841,4.4272438805966585
bridal jewelry,802709,36954,10.773365231259968,4.603660853435056
brooches,958415,32163,11.026424050632912,3.3558531533834506
casual chic jewelry,905591,36645,10.992924528301886,4.046528730961328
casual jewelry,768341,21192,11.043064516129032,2.7581503525127515
charm bracelets,1028298,46574,11.20912,4.529231798564229
chic and affordable jewelry,776654,24297,11.148160535117057,3.128420120156466
chic jewelry,676114,17901,11.529707792207793,2.647630429187977
choker necklaces,1018672,48713,10.880283911671924,4.782010303610976
chunky jewelry,723035,19240,11.018506493506493,2.6610053455226925
clip-on earrings,863466,34199,11.002878787878787,3.960665503910982
cocktail rings,813413,38440,11.168557536466775,4.725766615483155
colorful jewelry,1005603,36280,11.075922953451043,3.607785577409773
concert jewelry,763350,37261,10.910034013605443,4.881247134342045
costume jewelry,770045,36806,11.052122241086588,4.779720665675383
costume jewelry sets,747017,19454,11.013680781758959,2.6042245357200704
