Top queries,Clicks,Impressions,CTR,Position,Position Group
adelphi living,255,765,33.33,1.06,Top 3
adelphi,15,314,4.78,10.04,11-20
sil providers perth,11,98,11.22,2.2,Top 3
supported independent living perth,8,327,2.45,8.1,4-10
disability accommodation perth,4,645,0.62,21.36,21-50
sda providers perth,4,39,10.26,7.21,4-10
ndis providers near me,3,54,5.56,1.0,Top 3
adelphi living mandurah,3,18,16.67,1.06,Top 3
sil ndis,2,906,0.22,37.77,21-50
ndis housing perth,2,454,0.44,10.86,11-20
ndis providers perth,2,357,0.56,48.13,21-50
disability supported accommodation perth,2,222,0.9,13.06,11-20
sil accommodation perth,2,13,15.38,4.38,4-10
ndis,1,974,0.1,3.13,4-10
disability housing perth,1,498,0.2,24.32,21-50
specialist disability accommodation perth,1,434,0.23,8.61,4-10
sil,1,342,0.29,5.02,4-10
ndis events perth,1,264,0.38,15.02,11-20
ndis short term accommodation,1,261,0.38,29.24,21-50
disability service providers perth,1,223,0.45,66.67,51+
disability accommodation wa,1,202,0.5,20.64,21-50
medium term accommodation ndis,1,183,0.55,35.9,21-50
medium term accommodation,1,142,0.7,37.8,21-50
disability housing,1,113,0.88,27.12,21-50
ndis respite accommodation,1,106,0.94,38.69,21-50
medium term accommodation perth,1,83,1.2,7.55,4-10
ndis sda housing,1,77,1.3,88.03,51+
disability homes,1,74,1.35,7.62,4-10
sil housing,1,47,2.13,68.81,51+
adelphi apartments perth,1,35,2.86,10.71,11-20
adelphi living jobs,1,32,3.12,6.53,4-10
ndis robust housing,1,24,4.17,24.96,21-50
ndis wa providers,1,17,5.88,85.18,51+
sda living,1,11,9.09,3.18,4-10
disability services near me,1,8,12.5,46.0,21-50
adelphi care,1,7,14.29,15.14,11-20
support coordinators,1,6,16.67,2.17,Top 3
sda payment,1,5,20.0,2.0,Top 3
assisted living for schizophrenia near me,1,3,33.33,1.33,Top 3
ndia wa,1,3,33.33,32.33,21-50
ndis sda application form,1,2,50.0,3.5,4-10
adelphi housing,1,2,50.0,4.0,4-10
disability support organisation,1,1,100.0,1.0,Top 3
disability support services near me,1,1,100.0,1.0,Top 3
independent living supplies,1,1,100.0,1.0,Top 3
ndis support provider,1,1,100.0,4.0,4-10
ndis perth,0,973,0.0,68.87,51+
sda ndis,0,913,0.0,50.95,51+
supported independent living ndis,0,715,0.0,78.21,51+
ndis supported independent living,0,507,0.0,88.99,51+
disability accommodation,0,493,0.0,39.97,21-50
ndis sil,0,491,0.0,42.67,21-50
ndis provider perth,0,348,0.0,50.79,51+
sil provider,0,348,0.0,55.48,51+
ndis accommodation,0,344,0.0,72.33,51+
ndis events,0,337,0.0,53.12,51+
ndis sda,0,335,0.0,64.0,51+
supported independent living,0,331,0.0,6.66,4-10
sda provider,0,328,0.0,66.8,51+
sil providers,0,302,0.0,72.92,51+
supported accommodation perth,0,255,0.0,47.15,21-50
respite accommodation,0,254,0.0,41.36,21-50
disability group homes perth,0,248,0.0,40.53,21-50
ndis support coordination perth,0,248,0.0,82.07,51+
assisted living perth,0,243,0.0,39.94,21-50
sil accommodation,0,241,0.0,32.04,21-50
sda accommodation,0,226,0.0,69.61,51+
sda house,0,224,0.0,71.25,51+
short term accommodation perth,0,219,0.0,47.44,21-50
supported independent living providers,0,218,0.0,72.86,51+
sda housing perth,0,217,0.0,19.22,11-20
ndis perth wa,0,199,0.0,67.59,51+
disability services perth,0,196,0.0,78.09,51+
supported living accommodation,0,194,0.0,33.96,21-50
independent living wa,0,194,0.0,40.94,21-50
independent living specialists,0,182,0.0,78.75,51+
independent living housing,0,178,0.0,1.78,Top 3
supported living,0,178,0.0,26.85,21-50
ndis provider wa,0,178,0.0,68.74,51+
independent living,0,174,0.0,69.65,51+
ndis service provider perth,0,169,0.0,75.22,51+
disability respite accommodation,0,160,0.0,47.88,21-50
ndis events wa,0,156,0.0,11.39,11-20
sda house available,0,154,0.0,53.56,51+
ndis events western australia,0,152,0.0,24.17,21-50
ndis services perth,0,148,0.0,83.29,51+
what is sda,0,147,0.0,53.76,51+
disability accommodation services,0,141,0.0,30.36,21-50
residential disability access perth,0,139,0.0,45.68,21-50
ndis service providers perth,0,137,0.0,93.12,51+
ndis respite,0,135,0.0,57.99,51+
disability short term accommodation,0,124,0.0,31.56,21-50
independent living perth,0,123,0.0,30.3,21-50
independent living services,0,123,0.0,68.54,51+
respite care perth,0,122,0.0,99.93,51+
sda living western australia,0,118,0.0,3.62,4-10
supported accommodation ndis,0,113,0.0,5.65,4-10
disability care services perth,0,111,0.0,77.23,51+
sda homes,0,111,0.0,77.62,51+
ndis providers wa,0,111,0.0,77.94,51+
ndis independent living,0,110,0.0,76.12,51+
short term accommodation ndis,0,108,0.0,29.77,21-50
independent living apartments for disabled,0,107,0.0,1.0,Top 3
